numBots,numEquipment,visionRadius,commRange,commStartDelay,commTimeoutLength,negativePriority,enviroName,cycles,avgPathLength
10,150,75,75,0,10,-100,blue,5744,1409
10,150,75,75,0,10,-100,blue,4313,1167
10,150,75,75,0,10,-100,blue,4370,1154
10,150,75,75,0,10,-100,blue,4239,1164
10,150,75,75,0,10,-100,blue,5299,1408
10,150,75,75,250,10,-100,blue,4370,1163
10,150,75,75,250,10,-100,blue,5614,1548
10,150,75,75,250,10,-100,blue,4475,1154
10,150,75,75,250,10,-100,blue,4942,1154
10,150,75,75,250,10,-100,blue,4379,1154
10,150,75,75,500,10,-100,blue,4437,1154
10,150,75,75,500,10,-100,blue,4524,1154
10,150,75,75,500,10,-100,blue,4601,1220
10,150,75,75,500,10,-100,blue,4749,1201
10,150,75,75,500,10,-100,blue,4704,1269
10,150,75,75,750,10,-100,blue,4550,1154
10,150,75,75,750,10,-100,blue,4769,1167
10,150,75,75,750,10,-100,blue,4651,1154
10,150,75,75,750,10,-100,blue,4549,1154
10,150,75,75,750,10,-100,blue,4725,1217
10,150,75,75,1000,10,-100,blue,5165,1231
10,150,75,75,1000,10,-100,blue,4773,1154
10,150,75,75,1000,10,-100,blue,4959,1154
10,150,75,75,1000,10,-100,blue,5082,1154
10,150,75,75,1000,10,-100,blue,4938,1154
10,150,75,75,1250,10,-100,blue,4918,1164
10,150,75,75,1250,10,-100,blue,5063,1154
10,150,75,75,1250,10,-100,blue,4953,1154
10,150,75,75,1250,10,-100,blue,4890,1154
10,150,75,75,1250,10,-100,blue,5426,1269
10,150,75,75,1500,10,-100,blue,5094,1154
10,150,75,75,1500,10,-100,blue,5071,1154
10,150,75,75,1500,10,-100,blue,5001,1154
10,150,75,75,1500,10,-100,blue,5089,1154
10,150,75,75,1500,10,-100,blue,5077,1154
10,150,75,75,1750,10,-100,blue,5274,1154
10,150,75,75,1750,10,-100,blue,5213,1154
10,150,75,75,1750,10,-100,blue,4914,1154
10,150,75,75,1750,10,-100,blue,5318,1154
10,150,75,75,1750,10,-100,blue,4958,1154
10,150,75,75,2000,10,-100,blue,5322,1154
10,150,75,75,2000,10,-100,blue,4969,1154
10,150,75,75,2000,10,-100,blue,5269,1154
10,150,75,75,2000,10,-100,blue,5105,1154
10,150,75,75,2000,10,-100,blue,5145,1155
