numBots,numEquipment,visionRadius,commRange,commStartDelay,commTimeoutLength,negativePriority,enviroName,cycles,avgPathLength
1,50,100,60,11,0,-100,black1500,13037,1154
1,50,100,60,11,0,-100,black1500,13053,1154
1,50,100,60,11,0,-100,black1500,12813,1154
1,50,100,60,11,0,-100,black1500,13381,1154
1,50,100,60,11,0,-100,black1500,12377,1154
2,50,100,60,11,0,-100,black1500,7154,1154
2,50,100,60,11,0,-100,black1500,6748,1154
2,50,100,60,11,0,-100,black1500,7386,1154
2,50,100,60,11,0,-100,black1500,7220,1154
2,50,100,60,11,0,-100,black1500,6976,1154
3,50,100,60,11,0,-100,black1500,5059,1154
3,50,100,60,11,0,-100,black1500,5282,1154
3,50,100,60,11,0,-100,black1500,4943,1154
3,50,100,60,11,0,-100,black1500,5009,1154
3,50,100,60,11,0,-100,black1500,4533,1154
4,50,100,60,11,0,-100,black1500,3928,1154
4,50,100,60,11,0,-100,black1500,3412,1154
4,50,100,60,11,0,-100,black1500,3792,1154
4,50,100,60,11,0,-100,black1500,3975,1154
4,50,100,60,11,0,-100,black1500,3557,1154
5,50,100,60,11,0,-100,black1500,3230,1154
5,50,100,60,11,0,-100,black1500,3233,1154
5,50,100,60,11,0,-100,black1500,3075,1154
5,50,100,60,11,0,-100,black1500,2978,1154
5,50,100,60,11,0,-100,black1500,3042,1154
10,50,100,60,11,0,-100,black1500,1849,1154
10,50,100,60,11,0,-100,black1500,1806,1154
10,50,100,60,11,0,-100,black1500,1893,1154
10,50,100,60,11,0,-100,black1500,2066,1154
10,50,100,60,11,0,-100,black1500,2099,1154
20,50,100,60,11,0,-100,black1500,1250,1154
20,50,100,60,11,0,-100,black1500,1133,1154
20,50,100,60,11,0,-100,black1500,1204,1154
20,50,100,60,11,0,-100,black1500,1231,1156
20,50,100,60,11,0,-100,black1500,1266,1154
50,50,100,60,11,0,-100,black1500,818,1154
50,50,100,60,11,0,-100,black1500,838,1154
50,50,100,60,11,0,-100,black1500,805,1154
50,50,100,60,11,0,-100,black1500,835,1154
50,50,100,60,11,0,-100,black1500,837,1154
100,50,100,60,11,0,-100,black1500,690,1154
100,50,100,60,11,0,-100,black1500,650,1156
100,50,100,60,11,0,-100,black1500,680,1154
100,50,100,60,11,0,-100,black1500,616,1154
100,50,100,60,11,0,-100,black1500,622,1154
